instruction,context,response,category
Can I order a product if it is listed as 'coming soon' and available for pre-order?,"If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.Products listed as 'coming soon' are not available for immediate purchase. Please sign up for notifications to be informed when the product becomes available.If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.Yes, you can place an order with a mix of pre-order and in-stock items. However, please note that the entire order will be shipped once all items are available.If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.","If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.",closed_qa
Can I return a product if it was damaged due to mishandling during shipping?,"Our return policy generally covers products that are defective or damaged upon arrival. Damage due to improper use may not be eligible for a return. Please contact our customer support team for assistance.Yes, you can return a product if you changed your mind. Please ensure the product is in its original condition and packaging, and refer to our return policy for instructions.If your product was damaged due to mishandling during shipping, please contact our customer support team immediately. We will assist you with the necessary steps for return and replacement.While returning a product in its original packaging is preferred, you can still initiate a return without it. Contact our customer support team for guidance in such cases.If your product was damaged during shipping, please contact our customer support team immediately. We will guide you through the return and replacement process.If a product was purchased as part of a bundle or set, the return policy may vary. Please refer to the specific terms and conditions or contact our customer support team for further guidance.Final sale items are usually non-returnable and non-refundable. Please review the product description or contact our customer support team to confirm the return eligibility for specific items.Our return policy allows you to return products within 30 days of purchase for a full refund, provided they are in their original condition and packaging. Please refer to our Returns page for detailed instructions.Yes, you can return a product purchased with a gift card. The refund will be issued in the form of store credit or a new gift card.Yes, you can return a product purchased during a sale or with a discount. The refund will be processed based on the amount paid after the discount.","If your product was damaged due to mishandling during shipping, please contact our customer support team immediately. We will assist you with the necessary steps for return and replacement.",closed_qa
Can I request a product that is listed as 'out of stock' to be reserved for me?,"If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when the item becomes available again.We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when it becomes available again.If a product is currently out of stock, you will usually see an option to sign up for product notifications. This way, you will be alerted when the product becomes available again.If a product is listed as 'temporarily unavailable,' it is out of stock but may be restocked in the future. Please check back later or sign up for notifications.If a product is listed as 'sold out,' it is currently unavailable for purchase. Please check back later or sign up for notifications when it becomes available again.If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is not available in your preferred color, it may be temporarily out of stock. Please check back later or sign up for color notifications.Products listed as 'backordered' are temporarily out of stock but can still be ordered. Your order will be fulfilled once the product is restocked.If a product is not available in your size, it may be temporarily out of stock. Please check back later or sign up for size notifications.","We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when the item becomes available again.",closed_qa
Can I order a product if it is listed as 'pre-order' but available for backorder?,"If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.Yes, you can place an order with a mix of pre-order and in-stock items. However, please note that the entire order will be shipped once all items are available.If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.Products listed as 'backordered' are temporarily out of stock but can still be ordered. Your order will be fulfilled once the product is restocked.If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.","If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.",closed_qa
Can I return a product if it was purchased with store credit?,"Yes, you can return a product purchased with store credit. The refund will be issued in the form of store credit, which you can use for future purchases.Yes, you can return a product purchased with a discount code. The refund will be processed based on the amount paid after the discount.Yes, you can return a product purchased with a promotional gift card. The refund will be issued in the form of store credit or a new gift card.Yes, you can return a product purchased during a sale or with a discount. The refund will be processed based on the amount paid after the discount.Yes, you can return a product purchased with a gift card. The refund will be issued in the form of store credit or a new gift card.Yes, you can return a product purchased as a gift. However, refunds will typically be issued to the original payment method used for the purchase.Yes, you can return a product if you changed your mind. Please ensure the product is in its original condition and packaging, and refer to our return policy for instructions.If a product was purchased as part of a bundle or set, the return policy may vary. Please refer to the specific terms and conditions or contact our customer support team for further guidance.While returning a product in its original packaging is preferred, you can still initiate a return without it. Contact our customer support team for guidance in such cases.A receipt or proof of purchase is usually required for returns. Please refer to our return policy or contact our customer support team for assistance.","Yes, you can return a product purchased with store credit. The refund will be issued in the form of store credit, which you can use for future purchases.",closed_qa
Can I request a product that is currently out of stock to be restocked?,"If a product is listed as 'temporarily unavailable,' it is out of stock but may be restocked in the future. Please check back later or sign up for notifications.We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when it becomes available again.Once a limited edition product is sold out, it may not be restocked. Limited edition items are available for a limited time only, so we recommend purchasing them while they are available.We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when the item becomes available again.If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is currently out of stock, you will usually see an option to sign up for product notifications. This way, you will be alerted when the product becomes available again.We strive to restock popular products whenever possible. Please sign up for product notifications to be informed when the item becomes available again.We strive to restock popular products whenever possible. Please sign up for product notifications to be informed when the item becomes available again.We aim to restock popular products whenever possible. Please sign up for product notifications to be alerted when the item becomes available again.Products listed as 'backordered' are temporarily out of stock but can still be ordered. Your order will be fulfilled once the product is restocked.",We strive to restock popular products whenever possible. Please sign up for product notifications to be informed when the item becomes available again.,closed_qa
Can I order a product if it is listed as 'sold out' but available for pre-order?,"If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'sold out,' it is currently unavailable for purchase. Please check back later or sign up for notifications when it becomes available again.If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.Yes, you can place an order with a mix of pre-order and in-stock items. However, please note that the entire order will be shipped once all items are available.","If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.",closed_qa
Can I return a product if it was purchased with a promotional gift card?,"Yes, you can return a product purchased with a promotional gift card. The refund will be issued in the form of store credit or a new gift card.Yes, you can return a product purchased with a gift card. The refund will be issued in the form of store credit or a new gift card.Yes, you can return a product purchased as a gift. However, refunds will typically be issued to the original payment method used for the purchase.Yes, you can return a product purchased with a discount code. The refund will be processed based on the amount paid after the discount.Yes, you can return a product purchased with store credit. The refund will be issued in the form of store credit, which you can use for future purchases.Yes, you can return a product purchased during a sale or with a discount. The refund will be processed based on the amount paid after the discount.Yes, you can return a product if you changed your mind. Please ensure the product is in its original condition and packaging, and refer to our return policy for instructions.If a product was purchased as part of a bundle or set, the return policy may vary. Please refer to the specific terms and conditions or contact our customer support team for further guidance.While returning a product in its original packaging is preferred, you can still initiate a return without it. Contact our customer support team for guidance in such cases.Yes, you can order a product as a gift and have it shipped directly to the recipient. During the checkout process, you can enter the recipient's shipping address.","Yes, you can return a product purchased with a promotional gift card. The refund will be issued in the form of store credit or a new gift card.",closed_qa
Can I request a product if it is not currently available in my preferred color?,"If a product is not available in your preferred color, it may be temporarily out of stock. Please check back later or sign up for color notifications.If a product is not listed on our website, it may not be available for purchase. We recommend exploring the available products or contacting our customer support team for further assistance.If a product is listed as 'sold out,' it is currently unavailable for purchase. Please check back later or sign up for notifications when it becomes available again.Unfortunately, if a product is listed as 'discontinued,' it is no longer available for purchase. We recommend exploring alternative products on our website.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.'Limited edition' products may have restricted availability. We recommend placing an order as soon as possible to secure your item.If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.We aim to restock popular products whenever possible. Please sign up for product notifications to be alerted when the item becomes available again.","If a product is not available in your preferred color, it may be temporarily out of stock. Please check back later or sign up for color notifications.",closed_qa
Can I order a product if it is listed as 'coming soon' and not available for pre-order?,"If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available.Products listed as 'coming soon' are not available for immediate purchase. Please sign up for notifications to be informed when the product becomes available.If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.Yes, you can place an order with a mix of pre-order and in-stock items. However, please note that the entire order will be shipped once all items are available.If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available.","If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase.",closed_qa
Can I return a product if it was purchased during a promotional event?,"Yes, you can return a product purchased with a promotional gift card. The refund will be issued in the form of store credit or a new gift card.Yes, you can return a product purchased during a sale or with a discount. The refund will be processed based on the amount paid after the discount.If a product was purchased as part of a bundle or set, the return policy may vary. Please refer to the specific terms and conditions or contact our customer support team for further guidance.Yes, you can return a product purchased as a gift. However, refunds will typically be issued to the original payment method used for the purchase.Yes, you can return a product purchased with a discount code. The refund will be processed based on the amount paid after the discount.Yes, you can return a product if you changed your mind. Please ensure the product is in its original condition and packaging, and refer to our return policy for instructions.Yes, you can return a product purchased with a gift card. The refund will be issued in the form of store credit or a new gift card.While returning a product in its original packaging is preferred, you can still initiate a return without it. Contact our customer support team for guidance in such cases.Yes, you can return a product purchased with store credit. The refund will be issued in the form of store credit, which you can use for future purchases.If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available.","Yes, you can return a product purchased during a promotional event. The refund will be processed based on the amount paid after any applicable discounts.",closed_qa
